time,Speed pointer 1,RPM pointer 1,Gear pointer 1,
1650921223469,5.956344466540031e-07,1000.298095703125,0,
1650921223480,5.326699579200067e-07,1000.298095703125,0,
1650921223495,7.890429287726874e-07,1000.298095703125,0,
1650921223510,5.693631806025223e-07,1000.298095703125,0,
1650921223525,1.3872711406293092e-06,1000.298095703125,0,
1650921223540,1.7713242641548277e-06,1000.298095703125,0,
1650921223554,6.923969522176776e-07,1000.298095703125,0,
1650921223569,1.0362782632000744e-08,1000.298095703125,0,
1650921223584,1.0362782632000744e-08,1000.298095703125,0,
1650921223599,9.97845631900418e-07,1000.298095703125,0,
1650921223614,1.5009867411208688e-06,1000.298095703125,0,
1650921223629,1.6925744148466038e-06,1000.298095703125,0,
1650921223644,7.996807198651368e-07,1000.298095703125,0,
1650921223659,8.716343131709436e-07,1000.298095703125,0,
1650921223674,8.612660735707323e-07,1000.298095703125,0,
1650921223689,8.612660735707323e-07,1000.298095703125,0,
1650921223704,5.848151545251312e-07,1000.298095703125,0,
1650921223719,1.7854122233984526e-06,1000.298095703125,0,
1650921223734,1.954268640247392e-07,1000.298095703125,0,
1650921223749,1.954268640247392e-07,1000.298095703125,0,
1650921223764,1.5657666381230229e-06,1000.298095703125,0,
1650921223779,5.329063696990488e-07,1000.298095703125,0,
1650921223794,1.0411207540528267e-06,1000.298095703125,0,
1650921223809,1.7529025626572547e-06,1000.298095703125,0,
1650921223824,1.623826165086939e-06,1000.298095703125,0,
1650921223839,3.609057728226617e-07,1000.298095703125,0,
1650921223854,1.6890660390345147e-06,1000.298095703125,0,
1650921223869,6.299378583207726e-07,1000.298095703125,0,
1650921223884,6.299378583207726e-07,1000.298095703125,0,
1650921223899,1.0685929510145797e-06,1000.298095703125,0,
1650921223914,2.2577919480681885e-06,1000.298095703125,0,
1650921223929,2.263048827444436e-06,1000.298095703125,0,
1650921223944,5.7541143405615e-07,1000.298095703125,0,
1650921223958,4.895702545582026e-07,1000.298095703125,0,
1650921223973,1.7891811410208902e-07,1000.298095703125,0,
1650921223988,5.366330242395634e-07,1000.298095703125,0,
1650921224003,5.366330242395634e-07,1000.298095703125,0,
1650921224018,7.118459279809031e-07,1000.298095703125,0,
1650921224033,3.188014261468197e-07,1000.298095703125,0,
1650921224048,1.0882763490371872e-06,1000.298095703125,0,
1650921224063,1.0010375035562902e-06,1000.298095703125,0,
1650921224078,3.085158937210508e-07,1000.298095703125,0,
1650921224093,3.4915211699626525e-07,1000.298095703125,0,
1650921224108,5.2644899994902516e-08,1000.298095703125,0,
1650921224123,5.2644899994902516e-08,1000.298095703125,0,
1650921224138,1.864511432358995e-06,1000.298095703125,0,
1650921224153,2.992449481098447e-06,1000.298095703125,0,
1650921224168,1.988414396691951e-06,1000.298095703125,0,
1650921224183,1.758824552666738e-08,1000.298095703125,0,
1650921224198,2.013421635638224e-06,1000.298095703125,0,
1650921224213,1.0194797823714907e-06,1000.298095703125,0,
1650921224228,8.127830142257153e-07,1000.298095703125,0,
1650921224243,2.149313786503626e-06,1000.298095703125,0,
1650921224258,2.2096248812886188e-06,1000.298095703125,0,
1650921224273,2.2096248812886188e-06,1000.298095703125,0,
1650921224288,1.500109078733658e-06,1000.298095703125,0,
1650921224303,7.98742178176326e-07,1000.298095703125,0,
1650921224318,6.939216632417811e-07,1000.298095703125,0,
1650921224333,6.939216632417811e-07,1000.298095703125,0,
1650921224348,1.8376906609773869e-06,1000.298095703125,0,
1650921224363,1.6755564047343796e-06,1000.298095703125,0,
1650921224377,1.29193745124212e-06,1000.298095703125,0,
1650921224392,1.9788200233961106e-07,1000.298095703125,0,
1650921224407,1.0709322140201039e-07,1000.298095703125,0,
1650921224422,9.17779132691976e-08,1000.298095703125,0,
1650921224437,2.972890911223658e-08,1000.298095703125,0,
1650921224452,8.194751330847794e-07,1000.298095703125,0,
1650921224468,8.194751330847794e-07,1000.298095703125,0,
1650921224483,1.7006506141115096e-06,1000.298095703125,0,
1650921224498,8.606247092757258e-07,1000.298095703125,0,
1650921224513,9.013425597004243e-07,1000.298095703125,0,
1650921224528,1.137325511990639e-06,1000.298095703125,0,
1650921224543,3.519024289744266e-07,1000.298095703125,0,
1650921224558,3.519024289744266e-07,1000.298095703125,0,
1650921224573,2.7421444883657387e-06,1000.298095703125,0,
1650921224588,1.203579245157016e-06,1000.298095703125,0,
1650921224603,1.0515440180824953e-06,1000.298095703125,0,
1650921224618,5.751818434873712e-07,1000.298095703125,0,
1650921224633,5.751818434873712e-07,1000.298095703125,0,
1650921224648,5.696222729056899e-07,1000.298095703125,0,
1650921224663,1.1012467666660086e-06,1000.298095703125,0,
1650921224678,8.193472353923426e-07,1000.298095703125,0,
1650921224693,1.6030548977141734e-07,1000.298095703125,0,
1650921224708,5.365971560422622e-07,1000.298095703125,0,
1650921224723,8.36657932268281e-07,1000.298095703125,0,
1650921224738,1.5151092611631611e-06,1000.298095703125,0,
1650921224753,1.1877020824613282e-06,1000.298095703125,0,
1650921224768,1.1877020824613282e-06,1000.298095703125,0,
1650921224783,3.869541558287892e-07,1000.298095703125,0,
1650921224798,3.5370806017454015e-07,1000.298095703125,0,
1650921224813,2.420932787572383e-07,1000.298095703125,0,
1650921224828,1.0116146995642339e-06,1000.298095703125,0,
1650921224843,1.0802468750625849e-06,1000.298095703125,0,
1650921224857,4.3931322579737753e-07,1000.298095703125,0,
1650921224872,1.133802356889646e-06,1000.298095703125,2,
1650921224887,1.133802356889646e-06,1000.298095703125,2,
1650921224903,8.15474379578518e-07,1000.298095703125,2,
1650921224918,6.227796802704688e-07,1000.298095703125,2,
1650921224933,2.42157113916619e-07,1000.298095703125,2,
1650921224948,1.0441363329505293e-09,1000.298095703125,2,
1650921224963,9.135455911746249e-07,1000.298095703125,2,
1650921224978,1.941775963132386e-06,1000.298095703125,2,
1650921224993,1.25083795410319e-06,1000.298095703125,2,
1650921225008,3.941904367366078e-07,1000.298095703125,2,
1650921225023,3.941904367366078e-07,1000.298095703125,2,
1650921225038,5.664193736265588e-07,1041.1322021484375,2,
1650921225053,2.072359166049864e-06,1122.80029296875,2,
1650921225068,1.538178821647307e-06,1249.5291748046875,2,
1650921225083,1.538178821647307e-06,1429.13232421875,2,
1650921225098,2.0753743967816263e-07,1429.13232421875,2,
1650921225113,4.155387500759389e-07,1672.195556640625,2,
1650921225129,3.3844554536699434e-07,1940.19482421875,2,
1650921225143,4.5872258880308436e-08,2237.28564453125,2,
1650921225158,1.1089169902334106e-06,2560.24609375,2,
1650921225173,1.1358498568370123e-06,2904.276123046875,2,
1650921225188,7.207113981166913e-07,3262.13671875,2,
1650921225203,8.384994316656957e-07,3624.331787109375,2,
1650921225218,8.384994316656957e-07,3624.331787109375,2,
1650921225233,5.678097636518942e-07,3983.19921875,2,
1650921225248,7.014331799837237e-07,4339.86083984375,2,
