time,Speed pointer 1,RPM pointer 1,Gear pointer 1,
1650920699494,3.284438889750163e-06,1000.3524780273438,0,
1650920699511,3.2122882203111658e-06,1000.3524780273438,0,
1650920699526,3.143504045510781e-06,1000.3524780273438,0,
1650920699540,2.836595285771182e-06,1000.3524780273438,0,
1650920699555,2.7050627977587283e-06,1000.3524780273438,0,
1650920699570,2.9256173093017424e-06,1000.3524780273438,0,
1650920699585,2.9256173093017424e-06,1000.3524780273438,0,
1650920699600,3.1836877951718634e-06,1000.3524780273438,0,
1650920699615,3.3816747873061104e-06,1000.3524780273438,0,
1650920699630,3.277587893535383e-06,1000.3524780273438,0,
1650920699645,2.9020131933066295e-06,1000.3524780273438,0,
1650920699660,2.5730817014846252e-06,1000.3524780273438,0,
1650920699675,2.723526677073096e-06,1000.3524780273438,0,
1650920699690,3.0359508400579216e-06,1000.3524780273438,0,
1650920699705,3.2769926292530727e-06,1000.3524780273438,0,
1650920699720,3.2769926292530727e-06,1000.3524780273438,0,
1650920699735,3.448142251727404e-06,1000.3524780273438,0,
1650920699750,3.353908596182009e-06,1000.3524780273438,0,
1650920699765,2.96454186354822e-06,1000.3524780273438,0,
1650920699780,2.593986437204876e-06,1000.3524780273438,0,
1650920699795,2.720151314861141e-06,1000.3524780273438,0,
1650920699810,3.0306341614050325e-06,1000.3524780273438,0,
1650920699825,3.2808886771817924e-06,1000.3524780273438,0,
1650920699840,3.4624661111593014e-06,1000.3524780273438,0,
1650920699855,3.373000936335302e-06,1000.3524780273438,0,
1650920699870,2.9786181130475597e-06,1000.3524780273438,0,
1650920699884,2.605388772281003e-06,1000.3524780273438,0,
1650920699899,2.730316055021831e-06,1000.3524780273438,0,
1650920699914,2.730316055021831e-06,1000.3524780273438,0,
1650920699929,3.0409626106120413e-06,1000.3524780273438,0,
1650920699944,3.2935472518147435e-06,1000.3524780273438,0,
1650920699959,3.220857934138621e-06,1000.3524780273438,0,
1650920699974,3.220857934138621e-06,1000.3524780273438,0,
1650920699989,2.6027100830106065e-06,1000.3524780273438,0,
1650920700004,2.7626783776213415e-06,1000.3524780273438,0,
1650920700019,2.7626783776213415e-06,1000.3524780273438,0,
1650920700034,3.064843667743844e-06,1000.3524780273438,0,
