time,Speed pointer 1,RPM pointer 1,Gear pointer 1,
1650921065702,2.547414510445378e-07,1000.3894653320312,0,
1650921065720,2.0984695936476783e-07,1000.3888549804688,0,
1650921065735,1.2211692990149459e-07,1000.38818359375,0,
1650921065750,1.1794222132266441e-07,1000.3875122070312,0,
1650921065765,1.9686855523559643e-07,1000.3868408203125,0,
1650921065780,2.482417471583176e-07,1000.3862915039062,0,
1650921065795,1.9061651812535274e-07,1000.3856811523438,0,
1650921065810,9.682927526455387e-08,1000.3851318359375,0,
1650921065825,9.682927526455387e-08,1000.3851318359375,0,
1650921065840,9.538474898818095e-08,1000.384521484375,0,
1650921065855,1.8068863028020132e-07,1000.384033203125,0,
1650921065870,2.3830554596315778e-07,1000.3834838867188,0,
1650921065885,3.30339730680862e-07,1000.3829956054688,0,
1650921065900,3.977773701535625e-07,1000.3825073242188,0,
1650921065915,3.281721490111522e-07,1000.3819580078125,0,
1650921065930,2.2459391857410083e-07,1000.3814697265625,0,
1650921065945,2.14728274272602e-07,1000.3810424804688,0,
1650921065960,2.6416071818857745e-07,1000.380615234375,0,
1650921065975,2.6416071818857745e-07,1000.380615234375,0,
1650921065990,3.052988688523328e-07,1000.380126953125,0,
1650921066004,3.016342589035048e-07,1000.3796997070312,0,
1650921066019,2.2116240927516628e-07,1000.3792724609375,0,
1650921066034,1.2519396364041313e-07,1000.37890625,0,
1650921066049,1.2094973556031619e-07,1000.3785400390625,0,
1650921066064,2.0527740218767576e-07,1000.378173828125,0,
1650921066079,2.659729716469883e-07,1000.3778076171875,0,
1650921066094,2.1513911008241848e-07,1000.37744140625,0,
1650921066109,2.1513911008241848e-07,1000.37744140625,0,
1650921066124,1.2343437560957682e-07,1000.3770751953125,0,
1650921066139,1.1806684341308937e-07,1000.376708984375,0,
1650921066154,1.7418757636278315e-07,1000.37646484375,0,
1650921066169,3.0525413308168936e-07,1000.3761596679688,0,
1650921066184,3.9679659380453813e-07,1000.3758544921875,0,
1650921066199,3.355620208367327e-07,1000.3755493164062,0,
1650921066214,2.3469345933335717e-07,1000.3753051757812,0,
1650921066229,2.2785917508372222e-07,1000.375,0,
1650921066244,2.2785917508372222e-07,1000.3746948242188,0,
1650921066259,2.7575057970352645e-07,1000.3746948242188,0,
1650921066274,2.859234200514038e-07,1000.3743896484375,0,
1650921066289,2.0800760580641509e-07,1000.3740844726562,0,
1650921066304,1.1553155587762376e-07,1000.3739013671875,0,
1650921066319,1.1733494176269232e-07,1000.3736572265625,0,
1650921066334,2.0285810364839563e-07,1000.3734741210938,0,
1650921066349,2.8516515726551006e-07,1000.3732299804688,0,
1650921066364,3.0003857887095364e-07,1000.373046875,0,
1650921066379,3.0003857887095364e-07,1000.373046875,0,
1650921066393,1.9483732671687903e-07,1000.372802734375,0,
1650921066408,1.6973280025922577e-07,1000.37255859375,0,
1650921066423,3.085895627918944e-07,1000.3723754882812,0,
1650921066438,4.141130034440721e-07,1000.3721313476562,0,
1650921066453,3.9406765495186846e-07,1000.3719482421875,0,
1650921066468,3.172173705934256e-07,1000.3717041015625,0,
1650921066483,2.0197566641400044e-07,1000.3714599609375,0,
1650921066499,9.862815630867772e-08,1000.371337890625,0,
1650921066514,9.899244446387456e-08,1000.3712158203125,0,
1650921066529,1.9086306224380678e-07,1000.3710327148438,0,
1650921066544,2.5970581418732763e-07,1000.3709106445312,0,
1650921066559,1.936348610342975e-07,1000.3707275390625,0,
1650921066574,1.936348610342975e-07,1000.37060546875,0,
1650921066588,1.6738496810830839e-07,1000.37060546875,0,
1650921066603,2.5390642122147256e-07,1000.3704833984375,0,
1650921066618,3.2808767969072505e-07,1000.3703002929688,0,
1650921066633,3.3996582260442665e-07,1000.3701782226562,0,
1650921066648,3.1485797080677003e-07,1000.3700561523438,0,
1650921066663,2.0433910208339512e-07,1000.369873046875,0,
1650921066678,1.6259377844107803e-07,1000.3697509765625,0,
1650921066693,2.227409368060762e-07,1000.3695678710938,0,
1650921066708,2.227409368060762e-07,1000.3694458007812,0,
1650921066723,2.4035873025241017e-07,1000.3694458007812,0,
1650921066738,2.3529115367182385e-07,1000.3693237304688,0,
1650921066753,2.607911824270559e-07,1000.369140625,0,
1650921066768,2.4011612254071224e-07,1000.3690185546875,0,
1650921066783,1.5812968001682748e-07,1000.3688354492188,0,
1650921066799,9.88681918556722e-08,1000.3687744140625,0,
1650921066814,1.1906076480272532e-07,1000.3687133789062,0,
1650921066829,2.8395226081556757e-07,1000.36865234375,0,
1650921066843,2.8395226081556757e-07,1000.3685913085938,0,
1650921066858,4.2827687707358564e-07,1000.3685913085938,0,
1650921066873,3.7497545690712286e-07,1000.3684692382812,0,
1650921066888,2.1834321728420036e-07,1000.368408203125,0,
1650921066903,1.692613267323395e-07,1000.3683471679688,0,
1650921066918,2.1837600172602833e-07,1000.3682861328125,0,
1650921066933,2.07795892492868e-07,1000.3682250976562,0,
1650921066948,1.243007261564344e-07,1000.3681640625,0,
1650921066963,1.243007261564344e-07,1000.3680419921875,0,
1650921066978,7.1452859629062e-08,1000.3680419921875,0,
1650921066993,2.422452780592721e-07,1000.367919921875,0,
1650921067026,3.0810014095550287e-07,1000.3678588867188,0,
1650921067049,1.5148602017234225e-07,1000.36767578125,0,
1650921067069,1.3457928105253814e-07,1000.3676147460938,0,
1650921067084,2.0482039531088958e-07,1000.3675537109375,0,
1650921067099,2.2967952872932074e-07,1000.3674926757812,0,
1650921067114,2.5052273144865467e-07,1000.367431640625,0,
1650921067129,2.5052273144865467e-07,1000.367431640625,0,
1650921067144,3.0776163839618675e-07,1000.3673095703125,0,
1650921067159,3.1594478855367925e-07,1000.3671875,0,
1650921067174,2.798330740461097e-07,1000.3671264648438,0,
1650921067189,2.798330740461097e-07,1000.3671264648438,0,
1650921067204,1.897840462561362e-07,1000.3670654296875,0,
1650921067219,9.237266596073823e-08,1000.366943359375,0,
1650921067233,9.224546460018246e-08,1000.3668823242188,0,
1650921067248,1.834688987401023e-07,1000.3668212890625,0,
1650921067263,2.747970313521364e-07,1000.3667602539062,0,
1650921067278,2.969326544643991e-07,1000.36669921875,0,
1650921067293,2.1877922051771748e-07,1000.3665771484375,0,
1650921067308,2.1877922051771748e-07,1000.3665161132812,0,
1650921067323,1.1787137310648177e-07,1000.3665161132812,0,
1650921067340,1.0817554141340224e-07,1000.366455078125,0,
1650921067353,1.8651375910394563e-07,1000.3663940429688,0,
1650921067368,2.442769755361951e-07,1000.3663940429688,0,
1650921067383,1.9647811200229626e-07,1000.3663940429688,0,
1650921067398,1.0943638528715383e-07,1000.3663940429688,0,
1650921067413,1.0736420108514722e-07,1000.3663940429688,0,
1650921067428,1.0736420108514722e-07,1000.3663940429688,0,
1650921067443,1.8851866911973048e-07,1000.3663940429688,0,
1650921067458,1.8851866911973048e-07,1000.3663940429688,0,
1650921067473,1.8851866911973048e-07,1000.3663940429688,0,
1650921067488,1.8851866911973048e-07,1000.3663940429688,0,
1650921067503,9.281320956233685e-08,1000.3663940429688,0,
1650921067518,1.5368277672678232e-07,1000.3663940429688,0,
1650921067533,3.137099895411666e-07,1000.3663940429688,0,
1650921067548,4.770794248543098e-07,1000.3663940429688,0,
1650921067563,4.254036412021378e-07,1000.3663940429688,0,
1650921067578,2.2830745649571327e-07,1000.3663940429688,0,
1650921067593,2.2830745649571327e-07,1000.3663940429688,0,
1650921067608,1.3123101894052525e-07,1000.3663940429688,0,
1650921067623,1.79298737634781e-07,1000.3663940429688,0,
1650921067638,2.584451124221232e-07,1000.3663940429688,0,
1650921067653,2.8090059345231566e-07,1000.3663940429688,0,
1650921067667,2.1171068453895714e-07,1000.3663940429688,0,
1650921067685,1.2198680110486748e-07,1000.3663940429688,0,
1650921067703,1.2197885723708168e-07,1000.3663940429688,0,
1650921067728,2.6109017881026375e-07,1000.3663940429688,0,
1650921067742,2.6109017881026375e-07,1000.3663940429688,2,
1650921067757,2.070488847039087e-07,1000.3663940429688,2,
1650921067773,1.1483522399657886e-07,1000.3663940429688,2,
1650921067787,1.0993672105996666e-07,1000.3663940429688,2,
1650921067802,1.9092175307378056e-07,1000.3663940429688,2,
1650921067817,2.702357448924886e-07,1000.3663940429688,2,
1650921067832,2.5951206339414057e-07,1000.3663940429688,2,
1650921067847,2.549436146637163e-07,1000.3663940429688,2,
1650921067862,3.041984939500253e-07,1000.3663940429688,2,
1650921067877,3.2828361895553826e-07,1000.3663940429688,2,
1650921067892,3.0933938433008734e-07,1000.3663940429688,2,
1650921067907,3.0027658226572385e-07,1000.3663940429688,2,
1650921067922,3.0027658226572385e-07,1000.3663940429688,2,
1650921067937,2.8324825507297646e-07,1000.3663940429688,2,
1650921067952,2.0144058510140894e-07,1028.2545166015625,2,
1650921067967,1.0595583432859712e-07,1084.0308837890625,2,
