time,Speed pointer 1,RPM pointer 1,
1659349296110,0.0,1000.1005249023438,
1659349296124,0.0,1000.1005249023438,
1659349296139,0.0,1000.1005249023438,
1659349296155,0.0,1000.1005249023438,
1659349296171,0.0,1000.1005249023438,
1659349296186,0.0,1000.1005249023438,
1659349296202,0.0,1000.1005249023438,
1659349296218,0.0,1000.1005249023438,
1659349296233,0.0,1000.1005249023438,
1659349296249,0.0,1000.1005249023438,
1659349296265,0.0,1000.1005249023438,
1659349296281,0.0,1000.1005249023438,
1659349296296,0.0,1000.1005249023438,
1659349296312,0.0,1000.1005249023438,
1659349296327,0.0,1000.1005249023438,
1659349296343,0.0,1000.1005249023438,
1659349296359,0.0,1000.1005249023438,
1659349296374,0.0,1000.1005249023438,
1659349296390,0.0,1000.1005249023438,
1659349296406,0.0,1000.1005249023438,
1659349296422,0.0,1000.1005249023438,
1659349296438,0.0,1000.1005249023438,
1659349296453,0.0,1000.1005249023438,
1659349296469,0.0,1000.1005249023438,
1659349296484,0.0,1000.1005249023438,
1659349296500,0.0,1000.1005249023438,
1659349296516,0.0,1000.1005249023438,
1659349296536,0.0,1000.1005249023438,
1659349296561,0.0,1000.1005249023438,
1659349296575,0.0,1000.1005249023438,
1659349296590,0.0,1000.1005249023438,
1659349296605,0.0,1000.1005249023438,
1659349296620,0.0,1000.1005249023438,
1659349296636,0.0,1000.1005249023438,
1659349296652,0.0,1000.1005249023438,
1659349296668,0.0,1000.1005249023438,
1659349296684,0.0,1000.1005249023438,
1659349296699,0.0,1000.1005249023438,
1659349296715,0.0,1000.1005249023438,
1659349296730,0.0,1000.1005249023438,
1659349296746,0.0,1000.1005249023438,
1659349296761,0.0,1000.1005249023438,
1659349296776,0.0,1000.1005249023438,
1659349296792,0.0,1000.1005249023438,
1659349296808,0.0,1000.1005249023438,
1659349296824,0.0,1000.1005249023438,
1659349296839,0.0,1000.1005249023438,
1659349296855,0.0,1000.1005249023438,
1659349296871,0.0,1000.1005249023438,
1659349296886,0.0,1000.1005249023438,
1659349296902,0.0,1000.1005249023438,
1659349296918,0.0,1000.1005249023438,
1659349296933,0.0,1000.1005249023438,
1659349296948,0.0,1000.1005249023438,
1659349296963,0.0,1000.1005249023438,
1659349296979,0.0,1000.1005249023438,
1659349296994,0.0,1000.1005249023438,
1659349297009,0.0,1000.1005249023438,
1659349297025,0.0,1000.1005249023438,
1659349297040,0.0,1000.1005249023438,
1659349297055,0.0,1000.1005249023438,
1659349297070,0.0,1000.1005249023438,
1659349297086,0.0,1000.1005249023438,
1659349297102,0.0,1000.1005249023438,
1659349297117,0.0,1000.1005249023438,
1659349297133,0.0,1000.1005249023438,
1659349297148,0.0,1037.92626953125,
1659349297162,0.0,1037.92626953125,
1659349297177,0.0,1230.7314453125,
1659349297192,0.0,1396.2138671875,
1659349297208,0.0,1396.2138671875,
1659349297223,0.0,1618.7891845703125,
1659349297238,0.0,1863.4073486328125,
1659349297254,0.0,2134.186279296875,
1659349297269,0.0,2429.103515625,
1659349297285,0.0,2745.107177734375,
1659349297300,0.0,3077.341552734375,
1659349297315,0.0,3419.174072265625,
1659349297331,0.0,3762.40380859375,
1659349297347,0.0,4102.50341796875,
1659349297363,0.0,4440.86962890625,
1659349297378,0.0,4778.935546875,
1659349297393,0.0,4778.935546875,
1659349297408,0.0,5118.10302734375,
1659349297424,0.0,5459.76513671875,
1659349297440,0.0,5805.33154296875,
1659349297455,0.0,6156.2490234375,
1659349297471,0.0,6514.02734375,
1659349297486,0.0,6880.2626953125,
1659349297502,0.0,7256.66748046875,
1659349297518,0.0,7645.09814453125,
1659349297533,0.0,8047.59423828125,
1659349297549,0.0,8466.416015625,
1659349297565,0.0,8904.0966796875,
1659349297581,0.0,9209.40234375,
1659349297596,0.0,8641.0087890625,
1659349297612,0.0,8641.0087890625,
1659349297627,0.0,8528.6474609375,
1659349297642,0.0,8317.7109375,
1659349297658,0.0,8317.7109375,
1659349297674,0.0,8214.0322265625,
1659349297690,0.0,8665.4775390625,
1659349297705,0.0,9111.5341796875,
1659349297721,0.0,9220.4765625,
1659349297737,0.0,8638.7197265625,
1659349297753,0.0,8526.236328125,
1659349297769,0.0,8420.1728515625,
1659349297784,0.0,8315.3505859375,
1659349297799,0.0,8211.69921875,
1659349297814,0.0,8663.01953125,
1659349297829,0.0,9108.9560546875,
1659349297844,0.0,9220.3359375,
1659349297859,0.0,9220.3359375,
1659349297874,0.0,8638.748046875,
1659349297890,0.0,8420.203125,
1659349297905,0.0,8420.203125,
1659349297920,0.0,8315.3798828125,
1659349297936,0.0,8211.728515625,
1659349297952,0.0,8663.05078125,
1659349297968,0.0,9108.9892578125,
1659349297984,0.0,9220.337890625,
1659349297999,0.0,8638.7470703125,
1659349298015,0.0,8526.265625,
1659349298030,0.0,8420.2021484375,
1659349298046,0.0,8315.3798828125,
1659349298062,0.0,8211.728515625,
1659349298077,0.0,8663.0498046875,
1659349298093,0.0,8663.0498046875,
1659349298109,0.0,9108.98828125,
1659349298125,0.0,8638.7470703125,
1659349298141,0.0,8638.7470703125,
1659349298155,0.0,8526.265625,
1659349298170,0.0,8420.2021484375,
1659349298185,0.0,8315.3798828125,
1659349298201,0.0,8211.728515625,
1659349298216,0.0,8663.0498046875,
1659349298232,0.0,9108.98828125,
1659349298247,0.0,9220.337890625,
1659349298262,0.0,8638.7470703125,
1659349298277,0.0,8526.265625,
1659349298292,0.0,8526.265625,
1659349298307,0.0,8420.2021484375,
1659349298322,0.0,8315.3798828125,
1659349298337,0.0,8211.728515625,
1659349298353,0.0,8663.0498046875,
1659349298368,0.0,9108.98828125,
1659349298384,0.0,9220.337890625,
1659349298400,0.0,8638.7470703125,
1659349298416,0.0,8526.265625,
1659349298431,0.0,8420.2021484375,
1659349298447,0.0,8315.3798828125,
1659349298462,0.0,8211.728515625,
1659349298478,0.0,8211.728515625,
1659349298494,0.0,9108.98828125,
1659349298510,0.0,9220.337890625,
1659349298525,0.0,9220.337890625,
1659349298541,0.0,8638.7470703125,
1659349298557,0.0,8526.265625,
1659349298571,0.0,8420.2021484375,
1659349298586,0.0,8315.3798828125,
1659349298601,0.0,8211.728515625,
1659349298616,0.0,8663.0498046875,
1659349298631,0.0,9108.98828125,
1659349298646,0.0,9108.98828125,
1659349298662,0.0,8638.7470703125,
1659349298678,0.0,8526.265625,
1659349298693,0.0,8526.265625,
1659349298709,0.0,8420.2021484375,
1659349298725,0.0,8211.728515625,
1659349298740,0.0,8211.728515625,
1659349298755,0.0,8663.0498046875,
1659349298771,0.0,9108.98828125,
1659349298786,0.0,9220.337890625,
1659349298801,0.0,8638.7470703125,
1659349298816,0.0,8526.265625,
1659349298832,0.0,8420.2021484375,
1659349298847,0.0,8315.3798828125,
1659349298863,0.0,8211.728515625,
1659349298878,0.0,8211.728515625,
1659349298893,0.0,9108.98828125,
1659349298909,0.0,9220.337890625,
1659349298924,0.0,9220.337890625,
1659349298940,0.0,8638.7470703125,
1659349298956,0.0,8526.265625,
1659349298972,0.0,8420.2021484375,
1659349298987,0.0,8315.3798828125,
1659349299003,0.0,8211.728515625,
1659349299018,0.0,8663.0498046875,
1659349299034,0.0,9108.98828125,
1659349299050,0.0,9220.337890625,
1659349299065,0.0,8638.7470703125,
1659349299080,0.0,8526.265625,
1659349299095,0.0,8526.265625,
1659349299110,0.0,8420.2021484375,
1659349299126,0.0,8211.728515625,
1659349299141,0.0,8211.728515625,
1659349299157,0.0,8663.0498046875,
1659349299173,0.0,9108.98828125,
1659349299188,0.0,9220.337890625,
1659349299204,0.0,8638.7470703125,
1659349299220,0.0,8526.265625,
1659349299235,0.0,8420.2021484375,
1659349299251,0.0,8315.3798828125,
1659349299266,0.0,8211.728515625,
1659349299281,0.0,8663.0498046875,
1659349299297,0.0,9108.98828125,
1659349299313,0.0,9220.337890625,
1659349299328,0.0,9220.337890625,
1659349299343,0.0,8526.265625,
1659349299358,0.0,8526.265625,
1659349299373,0.0,8420.2021484375,
1659349299388,0.0,8315.3798828125,
1659349299404,0.0,8211.728515625,
1659349299420,0.0,8663.0498046875,
1659349299436,0.0,9108.98828125,
1659349299452,0.0,9220.337890625,
1659349299467,0.0,8638.7470703125,
1659349299482,0.0,8526.265625,
1659349299498,0.0,8420.2021484375,
1659349299514,0.0,8315.3798828125,
1659349299530,0.0,8211.728515625,
1659349299545,0.0,8663.0498046875,
1659349299561,0.0,9108.98828125,
1659349299577,0.0,9108.98828125,
1659349299592,0.0019269317854195833,9220.337890625,
1659349299607,0.5443289875984192,8512.0205078125,
1659349299623,1.1775329113006592,8146.08447265625,
1659349299639,1.8128942251205444,7661.23779296875,
