time,Speed pointer 1,RPM pointer 1,
1659349418085,9.915814399719238,7.651089615213501e-43,
1659349418104,9.915814399719238,7.651089615213501e-43,
1659349418120,9.915814399719238,7.651089615213501e-43,
1659349418135,9.915814399719238,7.651089615213501e-43,
1659349418150,9.915814399719238,7.651089615213501e-43,
1659349418166,9.915814399719238,7.651089615213501e-43,
1659349418182,9.915814399719238,7.651089615213501e-43,
1659349418198,9.915814399719238,7.651089615213501e-43,
1659349418213,9.915814399719238,7.651089615213501e-43,
1659349418229,9.915814399719238,7.651089615213501e-43,
1659349418245,9.915814399719238,7.651089615213501e-43,
1659349418261,9.915814399719238,7.651089615213501e-43,
1659349418277,9.915814399719238,7.651089615213501e-43,
1659349418293,9.915814399719238,7.651089615213501e-43,
1659349418309,9.915814399719238,7.651089615213501e-43,
1659349418323,9.915814399719238,7.651089615213501e-43,
1659349418338,9.915814399719238,7.651089615213501e-43,
1659349418354,9.915814399719238,7.651089615213501e-43,
1659349418370,9.915814399719238,7.651089615213501e-43,
1659349418385,9.915814399719238,7.651089615213501e-43,
1659349418400,9.915814399719238,7.651089615213501e-43,
1659349418416,9.915814399719238,7.651089615213501e-43,
1659349418432,9.915814399719238,7.651089615213501e-43,
1659349418448,9.915814399719238,7.651089615213501e-43,
1659349418463,9.915814399719238,7.651089615213501e-43,
1659349418481,9.915814399719238,7.651089615213501e-43,
1659349418494,9.915814399719238,7.651089615213501e-43,
1659349418515,9.915814399719238,7.651089615213501e-43,
1659349418540,9.915814399719238,7.651089615213501e-43,
1659349418555,9.915814399719238,7.651089615213501e-43,
1659349418570,9.915814399719238,7.651089615213501e-43,
1659349418585,9.915814399719238,7.651089615213501e-43,
1659349418601,9.915814399719238,7.651089615213501e-43,
1659349418617,9.915814399719238,7.651089615213501e-43,
1659349418633,9.915814399719238,7.651089615213501e-43,
1659349418648,9.915814399719238,7.651089615213501e-43,
1659349418663,9.915814399719238,7.651089615213501e-43,
1659349418678,9.915814399719238,7.651089615213501e-43,
1659349418693,9.915814399719238,7.651089615213501e-43,
1659349418709,9.915814399719238,7.651089615213501e-43,
1659349418724,9.915814399719238,7.651089615213501e-43,
1659349418740,9.915814399719238,7.651089615213501e-43,
1659349418756,9.915814399719238,7.651089615213501e-43,
1659349418772,9.915814399719238,7.651089615213501e-43,
1659349418788,9.915814399719238,7.651089615213501e-43,
1659349418804,9.915814399719238,7.651089615213501e-43,
1659349418819,9.915814399719238,7.651089615213501e-43,
1659349418835,9.915814399719238,7.651089615213501e-43,
1659349418851,9.915814399719238,7.651089615213501e-43,
1659349418867,9.915814399719238,7.651089615213501e-43,
1659349418883,9.915814399719238,7.651089615213501e-43,
1659349418898,9.915814399719238,7.651089615213501e-43,
1659349418914,9.915814399719238,7.651089615213501e-43,
1659349418930,9.915814399719238,7.651089615213501e-43,
1659349418946,9.915814399719238,7.651089615213501e-43,
1659349418961,9.915814399719238,7.651089615213501e-43,
1659349418977,9.915814399719238,7.651089615213501e-43,
1659349418993,9.915814399719238,7.651089615213501e-43,
1659349419009,9.915814399719238,7.651089615213501e-43,
1659349419024,9.915814399719238,7.651089615213501e-43,
1659349419039,9.915814399719238,7.651089615213501e-43,
1659349419055,9.915814399719238,7.651089615213501e-43,
1659349419071,9.915814399719238,7.651089615213501e-43,
1659349419087,9.915814399719238,7.651089615213501e-43,
1659349419103,9.915814399719238,7.651089615213501e-43,
1659349419118,9.915814399719238,7.651089615213501e-43,
1659349419134,9.915814399719238,7.651089615213501e-43,
1659349419150,9.915814399719238,7.651089615213501e-43,
1659349419166,9.915814399719238,7.651089615213501e-43,
1659349419180,9.915814399719238,7.651089615213501e-43,
1659349419196,9.915814399719238,7.651089615213501e-43,
1659349419212,9.915814399719238,7.651089615213501e-43,
1659349419228,9.915814399719238,7.651089615213501e-43,
1659349419243,9.915814399719238,7.651089615213501e-43,
1659349419259,9.915814399719238,7.651089615213501e-43,
1659349419275,9.915814399719238,7.651089615213501e-43,
1659349419290,9.915814399719238,7.651089615213501e-43,
1659349419305,9.915814399719238,7.651089615213501e-43,
1659349419320,9.915814399719238,7.651089615213501e-43,
1659349419335,9.915814399719238,7.651089615213501e-43,
1659349419351,9.915814399719238,7.651089615213501e-43,
1659349419367,9.915814399719238,7.651089615213501e-43,
1659349419383,9.915814399719238,7.651089615213501e-43,
1659349419398,9.915814399719238,7.651089615213501e-43,
1659349419414,9.915814399719238,7.651089615213501e-43,
1659349419430,9.915814399719238,7.651089615213501e-43,
1659349419446,9.915814399719238,7.651089615213501e-43,
1659349419462,9.915814399719238,7.651089615213501e-43,
1659349419477,9.915814399719238,7.651089615213501e-43,
1659349419493,9.915814399719238,7.651089615213501e-43,
1659349419509,9.915814399719238,7.651089615213501e-43,
1659349419525,9.915814399719238,7.651089615213501e-43,
1659349419540,9.915814399719238,7.651089615213501e-43,
1659349419554,9.915814399719238,7.651089615213501e-43,
1659349419570,9.915814399719238,7.651089615213501e-43,
1659349419586,9.915814399719238,7.651089615213501e-43,
1659349419602,9.915814399719238,7.651089615213501e-43,
1659349419618,9.915814399719238,7.651089615213501e-43,
1659349419633,9.915814399719238,7.651089615213501e-43,
1659349419648,9.915814399719238,7.651089615213501e-43,
1659349419663,9.915814399719238,7.651089615213501e-43,
1659349419679,9.915814399719238,7.651089615213501e-43,
1659349419695,9.915814399719238,7.651089615213501e-43,
1659349419710,9.915814399719238,7.651089615213501e-43,
1659349419725,9.915814399719238,7.651089615213501e-43,
1659349419741,9.915814399719238,7.651089615213501e-43,
1659349419757,9.915814399719238,7.651089615213501e-43,
1659349419772,9.915814399719238,7.651089615213501e-43,
1659349419788,9.915814399719238,7.651089615213501e-43,
1659349419804,9.915814399719238,7.651089615213501e-43,
1659349419819,9.915814399719238,7.651089615213501e-43,
1659349419835,9.915814399719238,7.651089615213501e-43,
1659349419851,9.915814399719238,7.651089615213501e-43,
1659349419867,9.915814399719238,7.651089615213501e-43,
