time,speed,rpm,gear
1662162184670,83.12,6611.03,3
1662162184684,83.52,6665.4,3
1662162184705,84.04,6718.92,3
1662162184719,84.53,6732.0,3
1662162184733,84.88,6755.8,3
1662162184754,85.33,6821.13,3
1662162184768,85.83,6861.28,3
1662162184782,86.31,6882.52,3
1662162184803,86.71,6909.92,3
1662162184817,87.11,6965.7,3
1662162184838,87.65,7021.13,3
1662162184852,88.15,7032.53,3
1662162184866,88.5,7057.53,3
1662162184887,88.98,7127.85,3
1662162184901,89.47,7162.52,3
1662162184922,89.96,7190.73,3
1662162184936,90.39,7220.19,3
1662162184951,90.8,7270.82,3
1662162184972,91.33,7328.1,3
1662162184985,91.83,7348.89,3
1662162184999,92.24,7375.79,3
1662162185020,92.66,7436.06,3
1662162185034,93.22,7490.72,3
1662162185055,93.74,7505.43,3
1662162185069,94.12,7532.03,3
1662162185083,94.6,7602.94,3
1662162185104,95.13,7643.1,3
1662162185118,95.63,7669.21,3
1662162185138,96.07,7701.9,3
1662162185152,96.5,7757.83,3
1662162185167,97.06,7816.47,3
1662162185188,97.59,7838.36,3
1662162185202,98.0,7865.68,3
1662162185215,98.47,7933.72,3
1662162185237,99.04,7983.41,3
1662162185251,99.56,8004.05,3
1662162185272,99.99,8037.71,3
1662162185285,100.46,8103.43,3
1662162185299,101.03,8157.49,3
1662162185321,101.59,8182.4,3
1662162185335,102.0,8209.17,3
1662162185355,101.9,8108.14,3
1662162185370,101.62,8006.82,3
1662162185384,101.47,7906.61,1
1662162185405,101.33,7807.52,1
1662162185419,101.25,7709.54,1
1662162185433,101.19,7612.65,4
1662162185453,101.14,7516.84,4
1662162185468,101.04,7422.1,4
1662162185489,101.11,7201.69,4
1662162185503,101.46,6855.6,4
1662162185516,101.72,6517.24,4
1662162185537,101.6,6369.78,4
1662162185552,101.34,6341.99,4
1662162185566,101.17,6360.31,4
1662162185587,101.06,6382.88,4
1662162185601,101.04,6421.8,4
1662162185622,101.13,6468.02,4
1662162185636,101.37,6512.87,4
1662162185650,101.64,6551.01,4
1662162185671,101.9,6593.95,4
1662162185685,102.27,6644.6,4
1662162185699,102.66,6659.76,4
1662162185720,103.02,6669.94,4
1662162185734,103.31,6688.1,4
1662162185755,103.63,6727.09,4
1662162185768,104.05,6759.97,4
1662162185782,104.42,6759.81,4
1662162185804,104.67,6777.84,4
1662162185818,105.05,6830.23,4
1662162185839,105.45,6844.83,4
1662162185853,105.81,6854.72,4
1662162185867,106.1,6874.48,4
1662162185888,106.43,6915.9,4
1662162185901,106.84,6946.88,4
1662162185915,107.23,6951.82,4
1662162185936,107.49,6965.42,4
1662162185950,107.84,7017.53,4
1662162185971,108.26,7041.56,4
1662162185985,108.64,7047.33,4
1662162185998,108.93,7063.17,4
1662162186019,109.24,7106.72,4
1662162186033,109.68,7144.14,4
1662162186055,110.07,7143.73,4
1662162186068,110.32,7155.21,4
1662162186082,110.69,7213.21,4
1662162186103,111.11,7235.1,4
1662162186117,111.48,7242.51,4
1662162186138,111.8,7260.59,4
1662162186152,112.12,7297.22,4
1662162186166,112.53,7337.13,4
1662162186187,112.94,7347.57,4
1662162186201,113.22,7357.15,4
1662162186222,113.53,7404.64,4
1662162186236,114.01,7447.07,4
1662162186250,114.4,7437.6,4
1662162186271,114.66,7455.57,4
1662162186285,115.05,7512.54,4
1662162186299,115.45,7530.26,4
1662162186320,115.85,7545.04,4
1662162186334,116.17,7561.53,4
1662162186355,116.48,7601.4,4
1662162186369,116.93,7646.14,4
1662162186383,117.34,7647.79,4
1662162186404,117.61,7659.4,4
1662162186418,117.98,7715.07,4
1662162186432,118.43,7744.72,4
1662162186453,118.82,7747.22,4
1662162186467,119.13,7766.15,4
1662162186489,119.47,7811.92,4
1662162186503,119.91,7850.37,4
1662162186517,120.34,7856.67,4
1662162186538,120.61,7866.87,4
1662162186552,120.98,7925.04,4
1662162186566,121.45,7955.5,4
1662162186587,121.83,7954.56,4
1662162186601,122.16,7979.73,4
1662162186622,122.52,8022.72,4
1662162186636,122.96,8057.06,4
1662162186650,123.36,8068.24,4
1662162186670,123.66,8088.6,4
1662162186684,124.06,8142.59,4
1662162186705,124.49,8167.66,4
1662162186719,124.92,8181.26,4
1662162186733,125.24,8195.62,4
1662162186754,125.09,8094.61,4
1662162186768,124.81,7993.43,4
1662162186782,124.65,7893.37,1
1662162186803,124.44,7794.43,1
1662162186817,124.32,7696.59,1
1662162186838,124.25,7599.85,5
1662162186852,124.16,7504.18,5
1662162186866,124.04,7409.58,5
1662162186888,124.05,7189.31,5
1662162186901,124.23,6843.36,5
1662162186922,124.5,6373.11,5
1662162186936,124.5,6157.13,5
1662162186950,124.27,6091.19,5
1662162186972,124.08,6094.62,5
1662162186986,123.95,6112.96,5
1662162187000,123.84,6135.17,5
1662162187021,123.87,6177.28,5
1662162187035,124.03,6201.96,5
1662162187055,124.21,6216.49,5
1662162187069,124.38,6236.76,5
1662162187083,124.55,6261.34,5
1662162187104,124.86,6287.95,5
1662162187118,125.11,6273.54,5
1662162187132,125.22,6274.11,5
1662162187153,125.44,6315.58,5
1662162187168,125.74,6327.02,5
1662162187189,125.96,6313.39,5
1662162187203,126.11,6322.8,5
1662162187217,126.33,6354.26,5
1662162187238,126.58,6364.94,5
1662162187252,126.83,6367.57,5
1662162187266,126.99,6369.44,5
1662162187287,127.15,6395.55,5
1662162187301,127.46,6425.05,5
1662162187321,127.71,6410.36,5
1662162187335,127.82,6409.56,5
1662162187349,128.04,6451.05,5
1662162187371,128.34,6465.44,5
1662162187385,128.58,6452.59,5
1662162187406,128.71,6457.14,5
1662162187420,128.9,6491.32,5
1662162187434,129.21,6513.37,5
1662162187455,129.45,6499.38,5
1662162187469,129.56,6501.61,5
1662162187483,129.78,6543.94,5
1662162187503,130.07,6557.16,5
1662162187517,130.31,6545.56,5
1662162187538,130.46,6551.54,5
1662162187552,130.65,6582.04,5
1662162187566,130.94,6602.33,5
1662162187588,131.17,6593.5,5
1662162187601,131.3,6599.82,5
1662162187616,131.51,6636.25,5
1662162187637,131.8,6650.29,5
1662162187651,132.05,6642.71,5
1662162187672,132.17,6643.81,5
1662162187685,132.37,6681.88,5
1662162187699,132.68,6700.48,5
1662162187721,132.92,6683.86,5
1662162187734,133.05,6690.13,5
1662162187755,133.25,6725.38,5
1662162187769,133.54,6741.99,5
1662162187783,133.79,6733.48,5
1662162187805,133.9,6736.77,5
1662162187818,134.12,6778.87,5
1662162187832,134.41,6790.29,5
1662162187853,134.65,6780.01,5
1662162187867,134.81,6785.27,5
1662162187887,134.98,6813.5,5
1662162187901,135.27,6839.04,5
1662162187915,135.53,6830.69,5
1662162187936,135.64,6828.73,5
1662162187950,135.84,6871.95,5
1662162187971,136.17,6888.74,5
1662162187986,136.39,6870.06,5
1662162188000,136.54,6879.07,5
1662162188021,136.74,6910.78,5
1662162188035,137.02,6926.74,5
1662162188056,137.26,6920.59,5
1662162188069,137.37,6926.72,5
1662162188083,137.61,6966.8,5
1662162188104,137.89,6975.47,5
1662162188119,138.14,6967.55,5
1662162188133,138.29,6971.15,5
1662162188154,138.46,7000.53,5
1662162188168,138.78,7026.8,5
1662162188189,139.04,7011.57,5
1662162188203,139.13,7009.92,5
1662162188217,139.37,7056.95,5
1662162188238,139.67,7065.32,5
1662162188252,139.9,7053.38,5
1662162188266,140.07,7060.41,5
1662162188287,140.25,7085.21,5
1662162188301,140.52,7109.3,5
1662162188322,140.78,7107.26,5
1662162188335,140.91,7104.95,5
1662162188349,141.08,7141.92,5
1662162188370,141.43,7167.15,5
1662162188384,141.67,7143.44,5
1662162188405,141.78,7147.97,5
1662162188419,142.02,7190.16,5
1662162188433,142.3,7196.48,5
1662162188455,142.54,7190.14,5
1662162188468,142.69,7197.5,5
1662162188482,142.88,7227.99,5
1662162188503,143.17,7249.79,5
1662162188518,143.44,7242.0,5
1662162188539,143.55,7238.22,5
1662162188553,143.74,7279.34,5
1662162188567,144.09,7299.7,5
1662162188588,144.31,7276.9,5
1662162188602,144.45,7285.96,5
1662162188616,144.67,7320.77,5
1662162188637,144.96,7333.23,5
1662162188651,145.18,7325.88,5
1662162188672,145.29,7335.72,5
1662162188686,145.56,7378.09,5
1662162188700,145.82,7378.7,5
1662162188721,146.06,7378.73,5
1662162188735,146.24,7382.68,5
1662162188749,146.4,7405.93,5
1662162188770,146.7,7435.85,5
1662162188784,146.97,7425.01,5
1662162188805,147.09,7421.72,5
1662162188819,147.3,7463.21,5
1662162188833,147.62,7480.46,5
1662162188854,147.86,7464.02,5
1662162188868,147.99,7468.27,5
1662162188889,148.2,7504.7,5
1662162188903,148.49,7522.4,5
1662162188917,148.75,7513.55,5
1662162188938,148.87,7513.03,5
1662162188951,149.07,7553.61,5
1662162188972,149.4,7572.79,5
1662162188986,149.63,7553.75,5
1662162189000,149.78,7561.82,5
1662162189021,149.99,7595.63,5
1662162189035,150.28,7612.35,5
1662162189049,150.52,7604.39,5
1662162189070,150.63,7609.28,5
1662162189084,150.88,7653.22,5
1662162189105,151.16,7658.17,5
1662162189119,151.42,7655.14,5
1662162189132,151.6,7656.37,5
1662162189153,151.71,7651.47,5
1662162189167,151.89,7639.63,5
1662162189188,151.93,7578.9,5
1662162189202,151.75,7527.32,5
1662162189216,151.57,7510.15,5
1662162189238,151.4,7482.43,5
1662162189252,151.16,7449.93,5
1662162189266,150.86,7435.62,5
1662162189286,150.58,7437.74,5
1662162189300,150.39,7437.52,5
1662162189321,150.17,7411.57,5
1662162189335,149.87,7392.15,5
1662162189349,149.63,7394.34,5
1662162189371,149.42,7383.59,5
1662162189384,149.17,7362.07,5
1662162189405,148.88,7350.43,5
1662162189419,148.63,7350.59,5
1662162189433,148.43,7343.93,5
1662162189454,148.21,7318.2,5
1662162189468,147.93,7301.48,5
1662162189482,147.66,7299.8,5
1662162189503,147.47,7295.14,5
1662162189517,147.25,7270.36,5
1662162189539,146.95,7250.97,5
1662162189553,146.69,7255.87,5
1662162189567,146.51,7251.03,5
1662162189588,146.29,7222.99,5
1662162189601,146.02,7205.08,5
1662162189615,145.76,7200.96,5
1662162189636,145.55,7196.21,5
1662162189651,145.33,7177.22,5
1662162189671,145.04,7158.98,5
1662162189685,144.79,7164.49,5
1662162189699,144.61,7158.1,5
1662162189720,144.39,7129.11,5
1662162189734,144.12,7112.22,5
1662162189755,143.86,7109.83,5
1662162189769,143.67,7108.49,5
1662162189783,143.46,7083.48,5
1662162189804,143.16,7063.76,5
1662162189818,142.92,7072.77,5
1662162189839,142.75,7063.9,5
1662162189853,142.52,7035.45,5
1662162189867,142.28,7021.64,5
1662162189888,142.01,7012.91,5
1662162189902,141.79,7014.03,5
1662162189916,141.6,6998.99,5
1662162189936,141.32,6975.63,5
1662162189951,141.08,6978.47,5
1662162189972,140.9,6972.89,5
1662162189986,140.69,6946.79,5
1662162190000,140.4,6928.89,5
1662162190021,140.14,6936.55,5
1662162190035,139.99,6934.23,5
1662162190056,139.78,6901.59,5
1662162190070,139.54,6884.79,5
1662162190084,139.3,6878.59,5
1662162190105,139.08,6871.78,5
1662162190119,138.87,6859.8,5
1662162190132,138.6,6845.68,5
1662162190153,138.35,6846.25,5
1662162190167,138.19,6843.54,5
1662162190188,137.99,6815.62,5
1662162190202,137.7,6795.51,5
1662162190216,137.46,6804.8,5
1662162190237,137.31,6801.07,5
1662162190251,137.1,6769.22,5
1662162190272,136.87,6752.6,5
1662162190286,136.63,6745.91,5
1662162190300,136.41,6741.26,5
1662162190321,136.21,6731.12,5
1662162190335,135.95,6713.83,5
1662162190356,135.7,6713.78,5
1662162190370,135.54,6713.34,5
1662162190384,135.35,6687.17,5
1662162190405,135.07,6666.46,5
1662162190419,134.84,6673.81,5
1662162190433,134.7,6667.41,5
1662162190453,134.49,6637.63,5
1662162190467,134.24,6622.84,5
1662162190488,134.0,6622.01,5
1662162190502,133.84,6620.84,5
1662162190516,133.65,6595.51,5
1662162190537,133.36,6576.13,5
1662162190551,133.14,6586.39,5
1662162190572,133.0,6579.29,5
1662162190586,132.8,6549.32,5
1662162190600,132.57,6534.73,5
1662162190621,132.33,6528.83,5
1662162190635,132.14,6527.91,5
1662162190649,131.97,6513.05,5
1662162190671,131.71,6490.89,5
1662162190685,131.47,6495.05,5
1662162190706,131.33,6493.29,5
1662162190719,131.15,6464.05,5
1662162190733,130.87,6445.43,5
1662162190754,130.66,6455.44,5
1662162190768,130.52,6448.6,5
1662162190782,130.33,6417.78,5
1662162190803,130.11,6404.97,5
1662162190817,129.86,6398.55,5
1662162190838,129.68,6400.51,5
1662162190852,129.51,6384.93,5
1662162190866,129.26,6362.8,5
1662162190887,129.04,6367.71,5
1662162190901,128.9,6362.75,5
1662162190922,128.72,6335.97,5
1662162190936,128.45,6319.34,5
1662162190950,128.22,6328.36,5
1662162190971,128.1,6326.26,5
1662162190985,127.92,6294.38,5
1662162190999,127.69,6278.31,5
1662162191021,127.49,6275.14,5
1662162191035,127.3,6269.3,5
1662162191056,127.11,6256.52,5
1662162191070,126.87,6242.65,5
1662162191084,126.65,6245.02,5
1662162191105,126.52,6242.65,5
1662162191119,126.35,6214.61,5
1662162191133,126.08,6196.31,5
1662162191154,125.87,6205.25,5
1662162191168,125.75,6201.13,5
1662162191182,125.57,6171.52,5
1662162191203,125.35,6156.85,5
1662162191217,125.13,6154.86,5
1662162191239,124.96,6152.19,5
1662162191253,124.8,6136.2,5
1662162191267,124.55,6118.59,5
1662162191288,124.33,6124.6,5
1662162191302,124.21,6124.21,5
1662162191316,124.04,6094.74,5
1662162191337,123.8,6076.9,5
1662162191351,123.61,6082.16,5
1662162191371,123.46,6073.21,5
1662162191385,123.27,6051.44,5
1662162191399,123.03,6042.77,5
1662162191421,122.83,6046.56,5
1662162191435,122.7,6041.92,5
1662162191449,122.53,6015.92,5
1662162191470,122.3,6001.19,5
1662162191484,122.09,6002.6,5
1662162191505,121.95,6001.82,5
1662162191519,121.79,5979.07,5
1662162191533,121.54,5960.86,5
1662162191554,121.35,5971.05,5
1662162191568,121.22,5964.27,5
1662162191582,121.05,5937.82,5
1662162191604,120.84,5925.7,5
1662162191618,120.62,5922.82,5
1662162191632,120.47,5924.74,5
1662162191653,120.32,5907.03,5
1662162191668,120.08,5886.88,5
1662162191689,119.9,5894.66,5
1662162191703,119.77,5886.77,5
1662162191717,119.59,5861.91,5
1662162191738,119.36,5852.51,5
1662162191752,119.16,5855.0,5
1662162191766,119.04,5853.59,5
1662162191787,118.88,5828.47,5
1662162191801,118.65,5812.26,5
1662162191822,118.46,5818.43,5
